timestamp,symbol,address,source,price_usd,liquidity_usd,volume_24h_usd,price_change_24h_pct,created_age_hours,score,risk_score,risk_label,mint_authority_renounced,freeze_authority_renounced,lp_locked_pct,holder_count,top10_holder_pct
2026-07-05T21:41:36.046350+00:00,BANSEM,2mDmh6PxiPPYgYNrbQZtMKTUwkX4FCb3MMm7Skewpump,dexscreener-boosted,19001,0.00001900,10472.24,33763.99,-43.78,3.5748941433376733,2.984,1,,True,True,100,243,83.4
2026-07-05T21:41:36.046350+00:00,公牛,H1ohgrouxAGCMwWya1j7Ewur5M2pGkQtZ791icbtpump,dexscreener-boosted,135949,0.0001359,96892.21,165517.26,268,5.917147896185981,1.498,29,warn,True,True,100,133,100
2026-07-05T21:49:16.849596+00:00,ANSEMJAK,BKbf1L2TETrPuJdJeHTFCdSrCE8DDRdzm1DBDgqypump,dexscreener-boosted,5848,0.000005847,7441.87,6992241.09,-86.19,4.109916944308811,859.131,56,danger,True,True,100,1433,100
2026-07-05T21:49:16.849596+00:00,RUDO,HSN7xvJ6dhmKU8XaWuJVDbPxHqKtLkc6fMUip5a5pump,dexscreener-boosted,4461,0.000004461,5821.41,2948741.07,-89.47,4.779455337524414,456.097,57,danger,True,True,100,840,100
2026-07-05T21:49:16.849596+00:00,0x,CMx1EUTXhnUKYF5xYMCSkDmJfvRSD7a4iwayW1DVpump,dexscreener-boosted,178346,0.0001783,37476.14,3369467.11,434,6.018366796535916,78.637,1,,True,True,100,3061,55.7
2026-07-05T21:49:16.849596+00:00,p,GbqA4P83aRzSmt58QPNzNCNg4Y5AgRcMSE8JHsJdpump,dexscreener-boosted,8098,0.000008098,7194.22,709118.95,-75.18,16.167446441514755,65.368,78,danger,True,True,100,597,94.6
2026-07-05T21:49:16.849596+00:00,公牛,B6MtubZSVPqekiNBmPjFPWRnP1ee4BwCHkmWbsMRpump,dexscreener-boosted,177040,0.0001770,37328.66,2395423.25,363,5.448963723483616,56.886,1,,True,True,100,20383,34.1
2026-07-05T21:49:16.849596+00:00,frog,5XFYxNg16y2KmEZLARWCCktuiA5QGD8ihJXu5xHapump,dexscreener-boosted,96849,0.00009685,26321.3,1378298.1,196,13.18762472812229,37.978,1,,True,True,100,1146,71.6
2026-07-05T21:49:16.849596+00:00,Richard,3SHBdvwb953JpAuFDE8rssJABFwPV88a9Kn5q6kepump,dexscreener-boosted,985990,0.0009859,81697.89,2029528.11,2096,8.275947635701497,20.559,58,danger,True,True,100,2094,90.5
2026-07-05T21:49:16.849596+00:00,BLACKOUT,A8wXmAgVy3peeHtifXNvYUUirGdNu4ezJoDno9trpump,dexscreener-boosted,112648,0.0001126,26835.81,610543.24,235,8.964936563924153,18.502,1,,True,True,100,5674,56.0
2026-07-05T21:49:16.849596+00:00,BULLSEM,Dt1kcPwhGyzj8o7wFnTZ24BHq1RbQr6eeR3qYb7epump,dexscreener-boosted,164081,0.0001640,31976.97,522387.19,305,0.44174002061631945,16.186,55,danger,True,True,100,493,97.2
2026-07-05T21:49:16.849596+00:00,ANIMEBULL,5UQNY2hk4fgaDYL8Cq2SgVZ97q7Uvb95aAuSG18dpump,dexscreener-boosted,501695,0.0005016,56215.61,895303.51,596,3.7720317921956377,14.675,1,,True,True,100,6313,10.7
2026-07-05T21:49:16.849596+00:00,POPSEM,AzELrQhUrMfmhXRtqctGcgDE4NTyoQWWuX7cGmCRpump,dexscreener-boosted,168447,0.0001684,31991.82,350796.86,400,0.6376448902723525,10.82,57,danger,True,True,100,375,100
2026-07-05T21:49:16.849596+00:00,WIFBULL,9rLL2r2NZNo5ctoYsurwDo35Bx7yKgt2HTWyVowjpump,dexscreener-boosted,79772,0.00007977,21671.04,142484.45,137,1.5131186218261719,6.368,1,,True,True,100,1206,48.0
2026-07-05T21:49:16.849596+00:00,BANSEM,2mDmh6PxiPPYgYNrbQZtMKTUwkX4FCb3MMm7Skewpump,dexscreener-boosted,18783,0.00001878,10412.24,33765.62,-44.42,3.7025632605658636,2.993,1,,True,True,100,247,83.4
2026-07-05T21:49:16.849596+00:00,公牛,H1ohgrouxAGCMwWya1j7Ewur5M2pGkQtZ791icbtpump,dexscreener-boosted,135949,0.0001359,96103.44,165535.44,268,6.044820440673829,1.506,29,warn,True,True,100,135,100
2026-07-05T23:47:11.161601+00:00,ANSEMJAK,BKbf1L2TETrPuJdJeHTFCdSrCE8DDRdzm1DBDgqypump,dexscreener-boosted,4249,0.000004248,6349.55,6996500.92,-89.96,6.075608010321723,962.417,57,danger,True,True,100,790,100
2026-07-05T23:47:11.161601+00:00,RUDO,HSN7xvJ6dhmKU8XaWuJVDbPxHqKtLkc6fMUip5a5pump,dexscreener-boosted,3673,0.000003673,5283.64,2949340.65,-91.33,6.745162204522027,479.761,57,danger,True,True,100,0,100
